concept_id,noun,unit_canonical,normalisation,entity_kinds,description
acs-arr-gap,ACS-ARR gap,â‚¹/kWh,ratio,state,"Average Cost of Supply minus Average Revenue Realised, per unit of electricity sold. Positive = the utility loses money on every unit it sells (closed by tariff hike, loss reduction, or state subsidy). Zero is the UDAY/RDSS policy goal."
agriculture-electricity,Agriculture (electricity),mtoe,absolute,country,"Final energy consumed in the agriculture sector via electricity, in mtoe per fiscal year."
agriculture-gas,Agriculture (gas),mtoe,absolute,country,"Final energy consumed in the agriculture sector via gas, in mtoe per fiscal year."
agriculture-oil,Agriculture (oil),mtoe,absolute,country,"Final energy consumed in the agriculture sector via oil, in mtoe per fiscal year."
ai-events,AI events,events,absolute,district state,Count of artificial-insemination EVENTS performed under NAIP IV (district SoT; auto-rolled to state per ADR-0043). Repeat inseminations on the same animal are counted multiple times.
all-india-installed-capacity,All-India installed capacity,MW,absolute,country,"Total nameplate generating capacity in megawatts, summed across all fuels, for India. Snapshot end-of-month from the CEA Monthly Executive Summary."
at-c-losses,AT&C losses,%,share,state,Combined technical (transmission + distribution heat / ageing losses) and commercial (theft + uncollected billing) losses as % of energy input to the distribution system. Headline discom-health metric: lower is better.
billing-efficiency,Billing efficiency,%,share,state,"Share of energy actually billed to a consumer, out of total energy input to the distribution system. 100% = every kWh that enters the grid was billed."
bio-energy-potential,Bio-energy potential,MW,absolute,country state,"Modelled maximum bio-energy capacity (MW) a state could build, summed across the two physically-additive streams the assessment publishes: agricultural / forestry biomass and bagasse-based cogeneration at sugar mills. This is buildable potential driven by a state's crop residue and sugar industry, NOT installed capacity and NOT a policy achievement."
biomass-plf,Biomass PLF,percent,share,state,"Biomass / bio-power PLF (publisher label: 'bio-power'). Feedstock-supply-bounded; agricultural-residue-rich states (Punjab, Haryana, UP, Tamil Nadu) show higher PLFs only when supply chains are functional."
biomass-purchase-share,Biomass purchase share,percent,share,state,"Biomass / bio-power procurement share. Tied to agri-residue feedstock availability; meaningful in Punjab, Haryana, UP, Tamil Nadu when supply chains function."
buffalo,Buffalo,animals,absolute,district state,"Number of buffaloes tagged with Pashu Aadhaar (NDLM) in each district. Tagged count, NOT actual buffaloes population."
calves-born,Calves born,calves,absolute,district state,Count of calves born per district from NAIP IV inseminations during FY 2024-25. Publisher reports sex split (male/female); this lift collapses sex via SUM.
candidate-votes,Candidate votes,votes,absolute,candidate,Absolute number of votes a candidate received in a single AC contest.
candidates-contested,Candidates contested,candidates,absolute,ac,Full field size: kept candidates plus those collapsed into the 'others' tail by the top-N cutoff.
candidates-total-pc,Candidates (PC),candidates,absolute,pc,Total number of candidates contesting a Parliament parliamentary constituency.
capacity-allocated-to-state,Capacity allocated to state,MW,share,state,"Same as the geographical-location capacity, but each state credited its share of joint-sector and central-sector plants per regional allocation formulas. Use this when comparing 'rights to electricity' rather than 'physical assets sited here'."
capacity-allocated-to-state-2,Capacity allocated to state,MW,absolute,state,Auto-minted stub for indicator state-installed-capacity-allocated-mw.
capacity-sited-in-state,Capacity sited in state,MW,absolute,state,"Total installed capacity physically located in the state, summed across all fuels. 'Geographical' means every plant counts toward the state where it sits, regardless of who owns it or where the power is dispatched."
capacity-snapshot-cea,Capacity snapshot (CEA),MW,absolute,state,"Total installed capacity allocated to each state at the end of the most recent month, from the CEA Monthly Executive Summary IC sheet. Snapshot view; complements the multi-FY ICED geographical and allocated series."
captive-power-capacity,Captive power capacity,MW,absolute,state,"Installed capacity (MW) of captive power plants - generation that industry builds and runs behind the meter for its own use, summed across all industry categories in a state. A high captive total often signals industry routing around an unreliable or expensive public grid by self-generating, rather than a policy achievement. Self-reported by industry to the Central Electricity Authority (CEA) and widely understood to be under-reported, so read the totals as a lower bound, not a precise census. The all-India aggregate row and the source's combined 'Jammu and Kashmir and Ladakh' label (which cannot be split across the two post-2019 entities) are not included."
captive-power-generation,Captive power generation,GWh,absolute,state,"Electricity generated (GWh) by captive power plants - the energy industry produces behind the meter for its own use, summed across all industry categories in a state. High captive generation often signals industry self-supplying because the public grid is unreliable or costly. The CEA reports this in Million Units (MU); 1 MU equals 1 GWh exactly, so the values are unchanged under the GWh label. Self-reported by industry to the Central Electricity Authority (CEA) and widely understood to be under-reported, so read the totals as a lower bound, not a precise census. The all-India aggregate row and the source's combined 'Jammu and Kashmir and Ladakh' label (which cannot be split across the two post-2019 entities) are not included."
cattle,Cattle,animals,absolute,district state,"Number of cattle tagged with Pashu Aadhaar (NDLM) in each district. Tagged count, NOT actual cattle population."
cgd-and-others-gas,Cgd And Others (gas),mtoe,absolute,country,"Final energy consumed in the cgd and others sector via gas, in mtoe per fiscal year."
