tier_id,tier_label,definition_kind,definition,authority,state_entity_id,notes
art_371_states,States with Article 371 special provisions,constitutional,"States with special constitutional provisions under Article 371 and 371A–371J. Each state's provision addresses a distinct local concern: Maharashtra/Gujarat (371: Vidarbha/Saurashtra special boards), Nagaland (371A: customary law), Assam (371B: tribal areas committee), Manipur (371C: hill areas committee), Andhra Pradesh + Telangana (371D: shared post-bifurcation employment/education zones), Sikkim (371F: pre-merger laws preserved), Mizoram (371G: customary law), Arunachal Pradesh (371H: governor's special responsibility for law and order), Goa (371I: assembly size floor), Karnataka (371J: Hyderabad-Karnataka region). Useful peer set for land-rights, autonomous-council, mining-royalty, employment-quota indicators.","Constitution of India, Articles 371 and 371A through 371J",andhra-pradesh,
art_371_states,States with Article 371 special provisions,constitutional,"States with special constitutional provisions under Article 371 and 371A–371J. Each state's provision addresses a distinct local concern: Maharashtra/Gujarat (371: Vidarbha/Saurashtra special boards), Nagaland (371A: customary law), Assam (371B: tribal areas committee), Manipur (371C: hill areas committee), Andhra Pradesh + Telangana (371D: shared post-bifurcation employment/education zones), Sikkim (371F: pre-merger laws preserved), Mizoram (371G: customary law), Arunachal Pradesh (371H: governor's special responsibility for law and order), Goa (371I: assembly size floor), Karnataka (371J: Hyderabad-Karnataka region). Useful peer set for land-rights, autonomous-council, mining-royalty, employment-quota indicators.","Constitution of India, Articles 371 and 371A through 371J",arunachal-pradesh,
art_371_states,States with Article 371 special provisions,constitutional,"States with special constitutional provisions under Article 371 and 371A–371J. Each state's provision addresses a distinct local concern: Maharashtra/Gujarat (371: Vidarbha/Saurashtra special boards), Nagaland (371A: customary law), Assam (371B: tribal areas committee), Manipur (371C: hill areas committee), Andhra Pradesh + Telangana (371D: shared post-bifurcation employment/education zones), Sikkim (371F: pre-merger laws preserved), Mizoram (371G: customary law), Arunachal Pradesh (371H: governor's special responsibility for law and order), Goa (371I: assembly size floor), Karnataka (371J: Hyderabad-Karnataka region). Useful peer set for land-rights, autonomous-council, mining-royalty, employment-quota indicators.","Constitution of India, Articles 371 and 371A through 371J",assam,
art_371_states,States with Article 371 special provisions,constitutional,"States with special constitutional provisions under Article 371 and 371A–371J. Each state's provision addresses a distinct local concern: Maharashtra/Gujarat (371: Vidarbha/Saurashtra special boards), Nagaland (371A: customary law), Assam (371B: tribal areas committee), Manipur (371C: hill areas committee), Andhra Pradesh + Telangana (371D: shared post-bifurcation employment/education zones), Sikkim (371F: pre-merger laws preserved), Mizoram (371G: customary law), Arunachal Pradesh (371H: governor's special responsibility for law and order), Goa (371I: assembly size floor), Karnataka (371J: Hyderabad-Karnataka region). Useful peer set for land-rights, autonomous-council, mining-royalty, employment-quota indicators.","Constitution of India, Articles 371 and 371A through 371J",goa,
art_371_states,States with Article 371 special provisions,constitutional,"States with special constitutional provisions under Article 371 and 371A–371J. Each state's provision addresses a distinct local concern: Maharashtra/Gujarat (371: Vidarbha/Saurashtra special boards), Nagaland (371A: customary law), Assam (371B: tribal areas committee), Manipur (371C: hill areas committee), Andhra Pradesh + Telangana (371D: shared post-bifurcation employment/education zones), Sikkim (371F: pre-merger laws preserved), Mizoram (371G: customary law), Arunachal Pradesh (371H: governor's special responsibility for law and order), Goa (371I: assembly size floor), Karnataka (371J: Hyderabad-Karnataka region). Useful peer set for land-rights, autonomous-council, mining-royalty, employment-quota indicators.","Constitution of India, Articles 371 and 371A through 371J",gujarat,
art_371_states,States with Article 371 special provisions,constitutional,"States with special constitutional provisions under Article 371 and 371A–371J. Each state's provision addresses a distinct local concern: Maharashtra/Gujarat (371: Vidarbha/Saurashtra special boards), Nagaland (371A: customary law), Assam (371B: tribal areas committee), Manipur (371C: hill areas committee), Andhra Pradesh + Telangana (371D: shared post-bifurcation employment/education zones), Sikkim (371F: pre-merger laws preserved), Mizoram (371G: customary law), Arunachal Pradesh (371H: governor's special responsibility for law and order), Goa (371I: assembly size floor), Karnataka (371J: Hyderabad-Karnataka region). Useful peer set for land-rights, autonomous-council, mining-royalty, employment-quota indicators.","Constitution of India, Articles 371 and 371A through 371J",karnataka,
art_371_states,States with Article 371 special provisions,constitutional,"States with special constitutional provisions under Article 371 and 371A–371J. Each state's provision addresses a distinct local concern: Maharashtra/Gujarat (371: Vidarbha/Saurashtra special boards), Nagaland (371A: customary law), Assam (371B: tribal areas committee), Manipur (371C: hill areas committee), Andhra Pradesh + Telangana (371D: shared post-bifurcation employment/education zones), Sikkim (371F: pre-merger laws preserved), Mizoram (371G: customary law), Arunachal Pradesh (371H: governor's special responsibility for law and order), Goa (371I: assembly size floor), Karnataka (371J: Hyderabad-Karnataka region). Useful peer set for land-rights, autonomous-council, mining-royalty, employment-quota indicators.","Constitution of India, Articles 371 and 371A through 371J",maharashtra,
art_371_states,States with Article 371 special provisions,constitutional,"States with special constitutional provisions under Article 371 and 371A–371J. Each state's provision addresses a distinct local concern: Maharashtra/Gujarat (371: Vidarbha/Saurashtra special boards), Nagaland (371A: customary law), Assam (371B: tribal areas committee), Manipur (371C: hill areas committee), Andhra Pradesh + Telangana (371D: shared post-bifurcation employment/education zones), Sikkim (371F: pre-merger laws preserved), Mizoram (371G: customary law), Arunachal Pradesh (371H: governor's special responsibility for law and order), Goa (371I: assembly size floor), Karnataka (371J: Hyderabad-Karnataka region). Useful peer set for land-rights, autonomous-council, mining-royalty, employment-quota indicators.","Constitution of India, Articles 371 and 371A through 371J",manipur,
art_371_states,States with Article 371 special provisions,constitutional,"States with special constitutional provisions under Article 371 and 371A–371J. Each state's provision addresses a distinct local concern: Maharashtra/Gujarat (371: Vidarbha/Saurashtra special boards), Nagaland (371A: customary law), Assam (371B: tribal areas committee), Manipur (371C: hill areas committee), Andhra Pradesh + Telangana (371D: shared post-bifurcation employment/education zones), Sikkim (371F: pre-merger laws preserved), Mizoram (371G: customary law), Arunachal Pradesh (371H: governor's special responsibility for law and order), Goa (371I: assembly size floor), Karnataka (371J: Hyderabad-Karnataka region). Useful peer set for land-rights, autonomous-council, mining-royalty, employment-quota indicators.","Constitution of India, Articles 371 and 371A through 371J",mizoram,
art_371_states,States with Article 371 special provisions,constitutional,"States with special constitutional provisions under Article 371 and 371A–371J. Each state's provision addresses a distinct local concern: Maharashtra/Gujarat (371: Vidarbha/Saurashtra special boards), Nagaland (371A: customary law), Assam (371B: tribal areas committee), Manipur (371C: hill areas committee), Andhra Pradesh + Telangana (371D: shared post-bifurcation employment/education zones), Sikkim (371F: pre-merger laws preserved), Mizoram (371G: customary law), Arunachal Pradesh (371H: governor's special responsibility for law and order), Goa (371I: assembly size floor), Karnataka (371J: Hyderabad-Karnataka region). Useful peer set for land-rights, autonomous-council, mining-royalty, employment-quota indicators.","Constitution of India, Articles 371 and 371A through 371J",nagaland,
